Source,Target,Importance
GENE1,GENE2,1.0
GENE3,GENE4,1.0
GENE5,GENE6,1.0
GENE7,GENE8,1.0
GENE9,GENE10,1.0
GENE11,GENE12,1.0
GENE9,GENE13,1.0
GENE3,GENE14,1.0
GENE15,GENE16,1.0
GENE3,GENE17,1.0
GENE18,GENE19,1.0
GENE20,GENE21,1.0
GENE22,GENE23,1.0
GENE24,GENE25,1.0
GENE26,GENE27,1.0
GENE28,GENE29,1.0
GENE24,GENE30,1.0
GENE3,GENE31,1.0
GENE3,GENE32,1.0
GENE33,GENE34,1.0
GENE35,GENE36,1.0
GENE28,GENE37,1.0
GENE3,GENE38,1.0
GENE28,GENE39,1.0
GENE40,GENE41,1.0
GENE28,GENE42,1.0
GENE43,GENE44,1.0
GENE45,GENE46,1.0
GENE47,GENE48,1.0
GENE49,GENE50,1.0
GENE1,GENE51,1.0
GENE45,GENE52,1.0
GENE3,GENE53,1.0
GENE28,GENE54,1.0
GENE45,GENE24,1.0
GENE55,GENE56,1.0
GENE11,GENE57,1.0
GENE28,GENE58,1.0
GENE55,GENE59,1.0
GENE47,GENE60,1.0
GENE11,GENE61,1.0
GENE62,GENE63,1.0
GENE64,GENE45,1.0
GENE65,GENE66,1.0
GENE11,GENE67,1.0
GENE28,GENE68,1.0
GENE28,GENE69,1.0
GENE1,GENE70,1.0
GENE71,GENE72,1.0
GENE3,GENE73,1.0
GENE7,GENE74,1.0
GENE75,GENE76,1.0
GENE28,GENE77,1.0
GENE7,GENE78,1.0
GENE79,GENE80,1.0
GENE81,GENE82,1.0
GENE83,GENE84,1.0
GENE85,GENE86,1.0
GENE24,GENE87,1.0
GENE88,GENE89,1.0
GENE40,GENE90,1.0
GENE80,GENE91,1.0
GENE92,GENE93,1.0
GENE94,GENE95,1.0
GENE96,GENE97,1.0
GENE98,GENE99,1.0
GENE100,GENE101,1.0
GENE102,GENE103,1.0
GENE104,GENE105,1.0
GENE106,GENE107,1.0
GENE108,GENE109,1.0
GENE110,GENE111,1.0
GENE112,GENE113,1.0
GENE114,GENE115,1.0
GENE116,GENE117,1.0
GENE118,GENE119,1.0
GENE120,GENE121,1.0
GENE122,GENE123,1.0
GENE110,GENE124,1.0
GENE125,GENE126,1.0
GENE127,GENE128,1.0
GENE129,GENE130,1.0
GENE55,GENE131,1.0
GENE132,GENE133,1.0
GENE28,GENE134,1.0
GENE26,GENE135,1.0
GENE24,GENE136,1.0
GENE28,GENE137,1.0
GENE138,GENE139,1.0
GENE24,GENE140,1.0
GENE24,GENE141,1.0
GENE7,GENE142,1.0
GENE45,GENE143,1.0
GENE102,GENE144,1.0
GENE28,GENE145,1.0
GENE45,GENE146,1.0
GENE45,GENE147,1.0
GENE24,GENE148,1.0
GENE24,GENE149,1.0
GENE150,GENE151,1.0
GENE152,GENE153,1.0
GENE5,GENE154,1.0
GENE155,GENE156,1.0
GENE157,GENE158,1.0
GENE5,GENE159,1.0
GENE160,GENE161,1.0
GENE162,GENE163,1.0
GENE164,GENE165,1.0
GENE102,GENE166,1.0
GENE167,GENE168,1.0
GENE3,GENE169,1.0
GENE170,GENE171,1.0
GENE9,GENE172,1.0
GENE55,GENE3,1.0
GENE3,GENE173,1.0
GENE11,GENE174,1.0
GENE175,GENE176,1.0
GENE3,GENE177,1.0
GENE178,GENE179,1.0
GENE180,GENE181,1.0
GENE182,GENE183,1.0
GENE161,GENE184,1.0
GENE185,GENE186,1.0
GENE187,GENE188,1.0
GENE98,GENE189,1.0
GENE190,GENE191,1.0
GENE192,GENE193,1.0
GENE194,GENE195,1.0
GENE196,GENE197,1.0
GENE198,GENE199,1.0
GENE85,GENE92,1.0
GENE104,GENE200,1.0
GENE200,GENE187,1.0
GENE75,GENE114,1.0
GENE3,GENE55,1.0
GENE3,GENE7,1.0
GENE5,GENE9,1.0
GENE160,GENE5,1.0
GENE1,GENE35,1.0
GENE104,GENE150,1.0
GENE150,GENE104,1.0
GENE35,GENE1,1.0
GENE5,GENE88,1.0
GENE85,GENE108,1.0
GENE33,GENE43,1.0
GENE20,GENE81,1.0
GENE81,GENE20,1.0
GENE28,GENE13,0.5
GENE24,GENE19,0.5
GENE3,GENE69,0.5
GENE138,GENE43,0.5
GENE160,GENE108,0.5
GENE9,GENE104,0.5
GENE85,GENE47,0.5
GENE33,GENE55,0.5
GENE160,GENE150,0.5
GENE187,GENE5,0.5
GENE127,GENE11,0.5
GENE187,GENE160,0.5
GENE55,GENE7,0.5
GENE28,GENE142,0.5
GENE1,GENE71,0.5
GENE127,GENE15,0.5
GENE92,GENE180,0.5
GENE11,GENE64,0.5
GENE120,GENE26,0.5
GENE40,GENE9,0.5
GENE138,GENE167,0.5
GENE118,GENE96,0.5
GENE85,GENE139,0.5
GENE24,GENE60,0.5
GENE9,GENE6,0.5
GENE45,GENE57,0.5
GENE45,GENE70,0.5
GENE81,GENE21,0.5
GENE129,GENE12,0.5
GENE43,GENE42,0.5
GENE1,GENE84,0.5
GENE1,GENE135,0.5
GENE3,GENE133,0.5
GENE62,GENE145,0.5
GENE65,GENE30,0.5
GENE160,GENE149,0.5
GENE1,GENE176,0.5
GENE64,GENE171,0.5
GENE127,GENE16,0.5
GENE40,GENE89,0.5
GENE11,GENE52,0.5
GENE45,GENE25,0.5
GENE64,GENE174,0.5
GENE24,GENE48,0.5
GENE94,GENE86,0.5
GENE45,GENE141,0.5
GENE28,GENE148,0.5
GENE102,GENE172,0.5
GENE3,GENE39,0.5
GENE55,GENE50,0.5
GENE127,GENE36,0.5
GENE61,GENE147,0.5
GENE3,GENE77,0.5
GENE45,GENE181,0.5
GENE24,GENE146,0.5
GENE28,GENE173,0.5
GENE83,GENE28,0.5
GENE24,GENE177,0.5
GENE114,GENE123,0.5
GENE49,GENE159,0.5
GENE62,GENE53,0.5
GENE11,GENE27,0.5
GENE55,GENE73,0.5
GENE102,GENE32,0.5
GENE127,GENE154,0.5
GENE11,GENE128,0.5
GENE33,GENE44,0.5
GENE122,GENE107,0.5
GENE7,GENE68,0.5
GENE24,GENE97,0.5
GENE55,GENE78,0.5
GENE112,GENE115,0.5
GENE102,GENE90,0.5
GENE24,GENE23,0.5
GENE200,GENE191,0.5
GENE127,GENE105,0.5
GENE33,GENE109,0.5
GENE117,GENE110,0.5
GENE170,GENE80,0.5
GENE5,GENE187,0.5
GENE3,GENE59,0.5
GENE180,GENE46,0.5
GENE160,GENE124,0.5
GENE40,GENE10,0.5
GENE24,GENE31,0.5
GENE83,GENE72,0.5
GENE43,GENE37,0.5
GENE61,GENE29,0.5
GENE55,GENE74,0.5
GENE3,GENE58,0.5
GENE9,GENE38,0.5
GENE3,GENE63,0.5
GENE11,GENE4,0.5
GENE62,GENE14,0.5
GENE45,GENE103,0.3333333333333333
GENE24,GENE45,0.3333333333333333
GENE71,GENE187,0.3333333333333333
GENE100,GENE91,0.3333333333333333
GENE189,GENE99,0.3333333333333333
GENE110,GENE100,0.3333333333333333
GENE118,GENE124,0.3333333333333333
GENE112,GENE121,0.3333333333333333
GENE55,GENE34,0.3333333333333333
GENE83,GENE36,0.3333333333333333
GENE44,GENE111,0.3333333333333333
GENE162,GENE73,0.3333333333333333
GENE33,GENE148,0.3333333333333333
GENE7,GENE3,0.3333333333333333
GENE3,GENE89,0.3333333333333333
GENE24,GENE17,0.3333333333333333
GENE187,GENE105,0.3333333333333333
GENE64,GENE136,0.3333333333333333
GENE11,GENE154,0.3333333333333333
GENE98,GENE123,0.3333333333333333
GENE26,GENE61,0.3333333333333333
GENE92,GENE125,0.3333333333333333
GENE160,GENE188,0.3333333333333333
GENE45,GENE128,0.3333333333333333
GENE45,GENE23,0.3333333333333333
GENE11,GENE171,0.3333333333333333
GENE1,GENE27,0.3333333333333333
GENE150,GENE80,0.3333333333333333
GENE45,GENE174,0.3333333333333333
GENE160,GENE159,0.3333333333333333
GENE55,GENE48,0.3333333333333333
GENE55,GENE63,0.3333333333333333
GENE71,GENE135,0.3333333333333333
GENE71,GENE86,0.3333333333333333
GENE7,GENE37,0.3333333333333333
GENE40,GENE25,0.3333333333333333
GENE64,GENE30,0.3333333333333333
GENE55,GENE69,0.3333333333333333
GENE3,GENE8,0.3333333333333333
GENE11,GENE130,0.3333333333333333
GENE35,GENE147,0.3333333333333333
GENE28,GENE146,0.3333333333333333
GENE64,GENE52,0.3333333333333333
GENE7,GENE76,0.3333333333333333
GENE40,GENE144,0.3333333333333333
GENE94,GENE71,0.3333333333333333
GENE33,GENE24,0.3333333333333333
GENE155,GENE66,0.3333333333333333
GENE7,GENE54,0.3333333333333333
GENE3,GENE50,0.3333333333333333
GENE1,GENE137,0.3333333333333333
GENE187,GENE200,0.3333333333333333
GENE64,GENE140,0.3333333333333333
GENE98,GENE114,0.3333333333333333
GENE1,GENE60,0.3333333333333333
GENE178,GENE149,0.3333333333333333
GENE45,GENE39,0.3333333333333333
GENE64,GENE57,0.3333333333333333
GENE33,GENE180,0.3333333333333333
GENE94,GENE51,0.3333333333333333
GENE102,GENE42,0.3333333333333333
GENE132,GENE169,0.3333333333333333
GENE11,GENE134,0.3333333333333333
GENE11,GENE129,0.3333333333333333
GENE62,GENE166,0.3333333333333333
GENE132,GENE56,0.3333333333333333
GENE175,GENE2,0.3333333333333333
GENE45,GENE142,0.3333333333333333
GENE5,GENE104,0.3333333333333333
GENE71,GENE192,0.3333333333333333
GENE138,GENE85,0.3333333333333333
GENE7,GENE55,0.3333333333333333
GENE92,GENE164,0.3333333333333333
GENE75,GENE152,0.3333333333333333
GENE3,GENE90,0.3333333333333333
GENE55,GENE38,0.3333333333333333
GENE28,GENE72,0.3333333333333333
GENE3,GENE29,0.3333333333333333
GENE24,GENE161,0.3333333333333333
GENE9,GENE4,0.3333333333333333
GENE1,GENE161,0.25
GENE160,GENE45,0.25
GENE85,GENE164,0.25
GENE138,GENE33,0.25
GENE9,GENE88,0.25
GENE132,GENE190,0.25
GENE102,GENE6,0.25
GENE18,GENE142,0.25
GENE35,GENE70,0.25
GENE61,GENE84,0.25
GENE7,GENE28,0.25
GENE11,GENE143,0.25
GENE61,GENE12,0.25
GENE102,GENE69,0.25
GENE138,GENE169,0.25
GENE35,GENE145,0.25
GENE7,GENE77,0.25
GENE200,GENE104,0.25
GENE3,GENE68,0.25
GENE49,GENE141,0.25
GENE11,GENE73,0.25
GENE108,GENE23,0.25
GENE64,GENE129,0.25
GENE104,GENE127,0.25
GENE61,GENE42,0.25
GENE180,GENE52,0.25
GENE64,GENE34,0.25
GENE18,GENE25,0.25
GENE71,GENE137,0.25
GENE45,GENE180,0.25
GENE9,GENE5,0.25
GENE102,GENE78,0.25
GENE33,GENE138,0.25
GENE47,GENE54,0.25
GENE115,GENE114,0.25
GENE7,GENE39,0.25
GENE62,GENE27,0.25
GENE71,GENE79,0.25
GENE132,GENE167,0.25
GENE18,GENE10,0.25
GENE102,GENE50,0.25
GENE127,GENE26,0.25
GENE104,GENE9,0.25
GENE124,GENE118,0.25
GENE28,GENE181,0.25
GENE3,GENE13,0.25
GENE28,GENE176,0.25
GENE18,GENE146,0.25
GENE83,GENE71,0.25
GENE55,GENE133,0.25
GENE24,GENE90,0.25
GENE190,GENE157,0.25
GENE61,GENE83,0.25
GENE129,GENE174,0.25
GENE24,GENE58,0.25
GENE33,GENE48,0.25
GENE45,GENE171,0.25
GENE35,GENE86,0.25
GENE64,GENE96,0.25
GENE26,GENE36,0.25
GENE1,GENE147,0.25
GENE45,GENE177,0.25
GENE47,GENE87,0.25
GENE55,GENE17,0.25
GENE7,GENE63,0.25
GENE161,GENE93,0.25
GENE3,GENE74,0.25
GENE102,GENE193,0.25
GENE98,GENE109,0.25
GENE22,GENE125,0.25
GENE24,GENE159,0.25
GENE7,GENE89,0.25
GENE122,GENE115,0.25
GENE64,GENE188,0.25
GENE152,GENE189,0.25
GENE98,GENE154,0.25
GENE26,GENE128,0.25
GENE45,GENE4,0.25
GENE152,GENE117,0.25
GENE127,GENE91,0.25
GENE160,GENE186,0.25
GENE196,GENE99,0.25
GENE117,GENE113,0.25
GENE187,GENE126,0.25
GENE43,GENE29,0.25
GENE24,GENE59,0.25
GENE160,GENE103,0.25
GENE164,GENE92,0.25
GENE118,GENE100,0.25
GENE35,GENE72,0.25
GENE26,GENE72,0.2
GENE47,GENE85,0.2
GENE1,GENE83,0.2
GENE117,GENE157,0.2
GENE138,GENE75,0.2
GENE192,GENE62,0.2
GENE61,GENE1,0.2
GENE61,GENE26,0.2
GENE11,GENE127,0.2
GENE5,GENE160,0.2
GENE127,GENE104,0.2
GENE9,GENE28,0.2
GENE62,GENE179,0.2
GENE7,GENE145,0.2
GENE20,GENE139,0.2
GENE55,GENE76,0.2
GENE5,GENE84,0.2
GENE26,GENE38,0.2
GENE160,GENE16,0.2
GENE28,GENE63,0.2
GENE9,GENE3,0.2
GENE33,GENE134,0.2
GENE47,GENE131,0.2
GENE35,GENE42,0.2
GENE102,GENE48,0.2
GENE9,GENE69,0.2
GENE160,GENE24,0.2
GENE55,GENE39,0.2
GENE85,GENE50,0.2
GENE43,GENE173,0.2
GENE28,GENE78,0.2
GENE18,GENE23,0.2
GENE9,GENE166,0.2
GENE55,GENE77,0.2
GENE45,GENE73,0.2
GENE28,GENE30,0.2
GENE55,GENE181,0.2
GENE18,GENE169,0.2
GENE102,GENE192,0.2
GENE9,GENE32,0.2
GENE104,GENE52,0.2
GENE24,GENE147,0.2
GENE45,GENE144,0.2
GENE138,GENE37,0.2
GENE104,GENE41,0.2
GENE127,GENE80,0.2
GENE33,GENE46,0.2
GENE55,GENE10,0.2
GENE33,GENE17,0.2
GENE117,GENE182,0.2
GENE45,GENE136,0.2
GENE127,GENE58,0.2
GENE55,GENE8,0.2
GENE127,GENE193,0.2
GENE117,GENE116,0.2
GENE92,GENE161,0.2
GENE102,GENE170,0.2
GENE160,GENE92,0.2
GENE110,GENE117,0.2
GENE132,GENE159,0.2
GENE196,GENE113,0.2
GENE45,GENE64,0.2
GENE11,GENE188,0.2
GENE117,GENE199,0.2
GENE26,GENE4,0.2
GENE102,GENE148,0.2
GENE28,GENE74,0.2
GENE9,GENE29,0.2
GENE102,GENE31,0.2
GENE180,GENE45,0.2
GENE40,GENE148,0.1666666666666666
GENE161,GENE92,0.1666666666666666
GENE94,GENE35,0.1666666666666666
GENE189,GENE122,0.1666666666666666
GENE98,GENE106,0.1666666666666666
GENE92,GENE188,0.1666666666666666
GENE138,GENE64,0.1666666666666666
GENE104,GENE97,0.1666666666666666
GENE189,GENE114,0.1666666666666666
GENE98,GENE113,0.1666666666666666
GENE5,GENE200,0.1666666666666666
GENE5,GENE110,0.1666666666666666
GENE118,GENE101,0.1666666666666666
GENE152,GENE75,0.1666666666666666
GENE160,GENE165,0.1666666666666666
GENE118,GENE161,0.1666666666666666
GENE33,GENE193,0.1666666666666666
GENE157,GENE116,0.1666666666666666
GENE45,GENE56,0.1666666666666666
GENE5,GENE118,0.1666666666666666
GENE200,GENE160,0.1666666666666666
GENE24,GENE57,0.1666666666666666
GENE11,GENE123,0.1666666666666666
GENE71,GENE51,0.1666666666666666
GENE192,GENE67,0.1666666666666666
GENE81,GENE149,0.1666666666666666
GENE3,GENE131,0.1666666666666666
GENE164,GENE85,0.1666666666666666
GENE170,GENE89,0.1666666666666666
GENE24,GENE170,0.1666666666666666
GENE7,GENE14,0.1666666666666666
GENE7,GENE42,0.1666666666666666
GENE102,GENE30,0.1666666666666666
GENE28,GENE48,0.1666666666666666
GENE45,GENE38,0.1666666666666666
GENE28,GENE76,0.1666666666666666
GENE138,GENE137,0.1666666666666666
GENE43,GENE134,0.1666666666666666
GENE28,GENE168,0.1666666666666666
GENE24,GENE69,0.1666666666666666
GENE117,GENE185,0.1666666666666666
GENE24,GENE32,0.1666666666666666
GENE64,GENE24,0.1666666666666666
GENE55,GENE166,0.1666666666666666
GENE45,GENE27,0.1666666666666666
GENE92,GENE172,0.1666666666666666
GENE180,GENE73,0.1666666666666666
GENE83,GENE61,0.1666666666666666
GENE40,GENE78,0.1666666666666666
GENE47,GENE31,0.1666666666666666
GENE62,GENE39,0.1666666666666666
GENE127,GENE68,0.1666666666666666
GENE33,GENE37,0.1666666666666666
GENE64,GENE180,0.1666666666666666
GENE47,GENE176,0.1666666666666666
GENE24,GENE128,0.1666666666666666
GENE180,GENE47,0.1666666666666666
GENE160,GENE80,0.1666666666666666
GENE180,GENE174,0.1666666666666666
GENE71,GENE147,0.1666666666666666
GENE11,GENE36,0.1666666666666666
GENE24,GENE4,0.1666666666666666
GENE65,GENE133,0.1666666666666666
GENE43,GENE74,0.1666666666666666
GENE47,GENE25,0.1666666666666666
GENE167,GENE55,0.1666666666666666
GENE102,GENE29,0.1666666666666666
GENE64,GENE146,0.1666666666666666
GENE33,GENE45,0.1666666666666666
GENE162,GENE87,0.1666666666666666
GENE61,GENE45,0.1428571428571428
GENE45,GENE148,0.1428571428571428
GENE138,GENE55,0.1428571428571428
GENE45,GENE29,0.1428571428571428
GENE5,GENE147,0.1428571428571428
GENE24,GENE54,0.1428571428571428
GENE49,GENE59,0.1428571428571428
GENE40,GENE17,0.1428571428571428
GENE65,GENE96,0.1428571428571428
GENE170,GENE146,0.1428571428571428
GENE132,GENE90,0.1428571428571428
GENE7,GENE48,0.1428571428571428
GENE40,GENE32,0.1428571428571428
GENE64,GENE60,0.1428571428571428
GENE62,GENE78,0.1428571428571428
GENE3,GENE37,0.1428571428571428
GENE3,GENE136,0.1428571428571428
GENE170,GENE168,0.1428571428571428
GENE9,GENE128,0.1428571428571428
GENE55,GENE19,0.1428571428571428
GENE3,GENE76,0.1428571428571428
GENE102,GENE58,0.1428571428571428
GENE55,GENE30,0.1428571428571428
GENE157,GENE95,0.1428571428571428
GENE47,GENE8,0.1428571428571428
GENE7,GENE173,0.1428571428571428
GENE106,GENE197,0.1428571428571428
GENE104,GENE151,0.1428571428571428
GENE180,GENE170,0.1428571428571428
GENE55,GENE68,0.1428571428571428
GENE43,GENE28,0.1428571428571428
GENE62,GENE31,0.1428571428571428
GENE40,GENE74,0.1428571428571428
GENE117,GENE156,0.1428571428571428
GENE33,GENE145,0.1428571428571428
GENE3,GENE27,0.1428571428571428
GENE3,GENE142,0.1428571428571428
GENE71,GENE63,0.1428571428571428
GENE162,GENE179,0.1428571428571428
GENE35,GENE91,0.1428571428571428
GENE93,GENE158,0.1428571428571428
GENE132,GENE43,0.1428571428571428
GENE24,GENE64,0.1428571428571428
GENE132,GENE180,0.1428571428571428
GENE83,GENE1,0.1428571428571428
GENE45,GENE159,0.1428571428571428
GENE124,GENE100,0.1428571428571428
GENE116,GENE182,0.1428571428571428
GENE114,GENE189,0.1428571428571428
GENE64,GENE11,0.1428571428571428
GENE94,GENE198,0.1428571428571428
GENE200,GENE157,0.1428571428571428
GENE104,GENE154,0.1428571428571428
GENE35,GENE83,0.125
GENE18,GENE14,0.125
GENE85,GENE56,0.125
GENE28,GENE8,0.125
GENE9,GENE26,0.125
GENE33,GENE167,0.125
GENE1,GENE150,0.125
GENE40,GENE104,0.125
GENE167,GENE33,0.125
GENE138,GENE21,0.125
GENE9,GENE90,0.125
GENE85,GENE172,0.125
GENE9,GENE142,0.125
GENE9,GENE67,0.125
GENE28,GENE135,0.125
GENE33,GENE74,0.125
GENE55,GENE137,0.125
GENE9,GENE145,0.125
GENE170,GENE23,0.125
GENE49,GENE31,0.125
GENE11,GENE72,0.125
GENE35,GENE28,0.125
GENE35,GENE173,0.125
GENE11,GENE68,0.125
GENE160,GENE2,0.125
GENE45,GENE140,0.125
GENE94,GENE118,0.125
GENE20,GENE82,0.125
GENE55,GENE169,0.125
GENE43,GENE66,0.125
GENE64,GENE134,0.125
GENE55,GENE13,0.125
GENE40,GENE181,0.125
GENE28,GENE17,0.125
GENE180,GENE146,0.125
GENE102,GENE133,0.125
GENE132,GENE46,0.125
GENE62,GENE10,0.125
GENE28,GENE50,0.125
GENE24,GENE171,0.125
GENE55,GENE54,0.125
GENE45,GENE36,0.125
GENE43,GENE34,0.125
GENE45,GENE59,0.125
GENE11,GENE29,0.125
GENE127,GENE89,0.125
GENE9,GENE180,0.125
GENE122,GENE121,0.125
GENE40,GENE58,0.125
GENE108,GENE103,0.125
GENE200,GENE188,0.125
GENE112,GENE154,0.125
GENE124,GENE119,0.125
GENE7,GENE195,0.125
GENE92,GENE108,0.125
GENE160,GENE64,0.125
GENE3,GENE97,0.125
GENE187,GENE109,0.125
GENE160,GENE93,0.125
GENE40,GENE102,0.125
GENE150,GENE193,0.125
GENE108,GENE85,0.125
GENE28,GENE7,0.125
GENE197,GENE91,0.125
GENE118,GENE111,0.125
GENE24,GENE151,0.125
GENE98,GENE153,0.125
GENE3,GENE194,0.1111111111111111
GENE92,GENE187,0.1111111111111111
GENE160,GENE192,0.1111111111111111
